version,fork,shape,size,ns,bytes,count,equivalent
baseline,3,deep_unary,1024,243154.762,128959.048,1,true
baseline,3,array_named,8192,572731.579,871191.579,8192,true
baseline,3,array_positional,1024,9372.663,6712,0,false
baseline,3,join_mybatis,4,7471.582,5896,4,true
baseline,3,bare_concat,4096,338573.333,43616,1,false
baseline,3,join_named,4,5890.918,3968,4,true
baseline,3,where_positional,2,1925.635,1456,2,true
baseline,3,jdbc_escape,1,2045.361,1176,1,true
baseline,3,array_positional,4096,36254.044,25144,0,false
baseline,3,bare_concat,8192,685137.500,133787,1,false
baseline,3,where_mybatis,2,2891.357,2600,2,true
baseline,3,array_mybatis,8192,145991700,1814143276,8192,true
baseline,3,cached_positional_same,2,12.845,0,2,true
baseline,3,cached_positional_equal,2,16.663,0,2,true
baseline,3,cached_named_same,2,12.269,0,2,true
baseline,3,cached_named_equal,2,16.572,0,2,true
baseline,4,array_named,4096,356402.778,395776,4096,true
baseline,4,array_named,1024,68524.026,87088,1024,true
baseline,4,geometric_cast,1,1796.875,792,1,true
baseline,4,array_named,8192,642936.842,871191.579,8192,true
baseline,4,bare_concat,256,24647.368,3296,1,false
baseline,4,array_positional,256,3074.795,2104,0,false
baseline,4,join_mybatis,4,8053.613,5896,4,true
baseline,4,join_positional,4,5845.557,3824,4,true
baseline,4,deep_unary,1024,274154.545,128568,1,true
baseline,4,where_positional,16,12372.607,5224,16,true
baseline,4,json_constructor,1,1889.844,1136,0,false
baseline,4,no_parameters,0,1622.705,1248,0,true
baseline,4,array_mybatis,8192,158665600,1814143276,8192,true
baseline,4,join_named,4,6108.838,3968,4,true
baseline,4,deep_unary,4096,966000,510648,1,true
baseline,4,quoted_and_comments,2,1941.699,1192,2,true
baseline,4,array_mybatis,1024,2842187.500,27681512,1024,true
baseline,4,json_operator,1,1948.340,1128,1,true
baseline,4,where_named,16,13140.527,7960,16,true
baseline,4,where_positional,128,85564.648,35904,128,true
baseline,4,deep_unary,256,60716.667,33048,1,true
baseline,4,jdbc_escape,1,2242.236,1176,1,true
baseline,4,array_positional,1024,10109.790,6712,0,false
baseline,4,where_positional,2,1963.965,1456,2,true
baseline,4,array_named,256,17103.717,22776,256,true
baseline,4,where_mybatis,2,3162.939,2600,2,true
baseline,4,array_positional,8192,94425.714,147995.581,0,false
baseline,4,bare_concat,8192,742050,133787,1,false
baseline,4,array_mybatis,4096,40195500,453553348,4096,true
baseline,4,bare_concat,1024,88018.333,11360,1,false
baseline,4,bare_concat,4096,358740,43616,1,false
baseline,4,where_mybatis,16,18360.889,15040,16,true
baseline,4,array_mybatis,256,247391.429,1777560,256,true
baseline,4,array_positional,4096,39128.947,25144,0,false
baseline,4,where_named,2,2427.637,1816,2,true
baseline,4,deep_unary,8192,1943450,1065198,1,true
baseline,4,cached_positional_same,2,13.224,0,2,true
baseline,4,cached_positional_equal,2,17.917,0,2,true
baseline,4,cached_named_same,2,12.929,0,2,true
baseline,4,cached_named_equal,2,17.713,0,2,true
baseline,5,deep_unary,1024,233272.500,128568,1,true
baseline,5,no_parameters,0,1476.123,1248,0,true
baseline,5,array_positional,1024,9580.665,6712,0,false
baseline,5,where_positional,2,1878.467,1456,2,true
baseline,5,array_mybatis,4096,38466200,453545136,4096,true
baseline,5,array_named,256,16931.900,22776,256,true
baseline,5,where_named,2,2270.459,1816,2,true
baseline,5,array_named,8192,588322.222,871143.556,8192,true
