shape,size,equivalent_results,baseline_ns,baseline_min_ns,baseline_max_ns,baseline_bytes,baseline_count,before_ns,before_min_ns,before_max_ns,before_bytes,before_count,current_ns,current_min_ns,current_max_ns,current_bytes,current_count,baseline_common8_ns,baseline_common8_min_ns,baseline_common8_max_ns,baseline_common8_bytes,baseline_common8_count,current_vs_baseline_pct,current_vs_before_pct,current_vs_common8_pct
join_named,4,true,5275.098,5253.711,5469.336,3968,4,5800.586,5610.107,5953.613,5008,4,3560.547,3536.523,3591.211,4440,4,5265.527,5143.604,5319.287,3968,4,-32.503,-38.617,-32.380
join_positional,4,true,4957.617,4929.639,5043.799,3824,4,8576.025,8293.994,8964.063,4312,4,3799.512,3786.865,3986.182,4056,4,4882.275,4867.139,4988.184,3824,4,-23.360,-55.696,-22.177
json_constructor,1,false,1494.287,1456.738,1509.766,1136,0,2445.215,2425.879,2460.400,1576,1,1325.635,1275.635,1359.375,1384,1,1449.219,1448.340,1490.674,1136,0,-11.286,-45.787,-8.528
json_operator,1,true,1489.063,1469.824,1494.580,1128,1,2443.018,2427.490,2496.631,1536,1,1566.064,1513.867,1690.088,1528,1,1472.168,1460.693,1522.412,1128,1,5.171,-35.896,6.378
no_parameters,0,true,1259.131,1251.318,1288.477,1248,0,1377.197,1365.723,1410.693,1400,0,1084.717,1012.500,1447.998,1232,0,1236.035,1204.199,1254.248,1248,0,-13.852,-21.237,-12.242
quoted_and_comments,2,true,1703.711,1671.484,1734.570,1192,2,2907.422,2895.996,2953.125,1608,2,1730.957,1666.553,1800.928,1592,2,1724.463,1627.051,1730.615,1192,2,1.599,-40.464,0.377
where_mybatis,2,true,2541.553,2521.436,2626.855,2552,2,3087.109,3010.693,3144.189,4008,2,2022.705,1904.932,2056.787,3024,2,2533.350,2502.002,2581.641,2552,2,-20.415,-34.479,-20.157
where_mybatis,16,true,15529.199,15232.666,15690.088,14656,16,18405.371,18321.973,18799.170,25368,16,10746.680,10382.031,11666.309,18040,16,15358.545,15319.238,15663.867,14656,16,-30.797,-41.611,-30.028
where_named,2,true,1959.180,1911.572,1998.633,1816,2,2197.607,2157.910,2233.838,2384,2,1380.371,1334.375,1393.213,2080,2,1900.977,1878.223,1981.885,1816,2,-29.543,-37.188,-27.386
where_named,16,true,11079.980,10840.088,11147.363,7960,16,11940.088,11817.139,12309.082,11552,16,5863.281,5787.256,6016.357,9680,16,10964.160,10486.670,11094.092,7960,16,-47.082,-50.894,-46.523
where_positional,2,true,1638.086,1614.795,1662.305,1456,2,2907.959,2870.068,2995.605,1872,2,1442.773,1345.313,1495.898,1672,2,1625.732,1591.211,1638.623,1456,2,-11.923,-50.385,-11.254
where_positional,16,true,9845.166,9542.383,9929.248,5224,16,14518.408,14309.717,14907.324,6128,16,5845.264,5701.318,6040.088,5728,16,9911.914,9861.719,9932.764,5224,16,-40.628,-59.739,-41.028
where_positional,128,true,75334.961,74379.053,76297.412,35904,128,104125.049,103413.916,105309.961,42632,128,41400.684,41334.912,43204.395,39992,128,74171.289,73953.906,76311.035,35904,128,-45.045,-60.239,-44.182
