version,fork,shape,size,ns,bytes,count,equivalent
baseline,3,join_mybatis,4,6431.836,5800,4,true
baseline,3,bare_concat,4096,314050,43616,1,false
baseline,3,join_named,4,5275.098,3968,4,true
baseline,3,where_positional,2,1614.795,1456,2,true
baseline,3,jdbc_escape,1,1846.973,1176,1,true
baseline,3,array_positional,4096,36550,25144,0,false
baseline,3,bare_concat,8192,612150,127628,1,false
baseline,3,where_mybatis,2,2526.660,2552,2,true
baseline,3,array_mybatis,8192,141687300,1814143252,8192,true
baseline,3,cached_positional_same,2,12.648,0,2,true
baseline,3,cached_positional_equal,2,16.604,0,2,true
baseline,3,cached_named_same,2,12.411,0,2,true
baseline,3,cached_named_equal,2,16.376,0,2,true
baseline,4,array_named,4096,250450,395776,4096,true
baseline,4,array_named,1024,61625,87088,1024,true
baseline,4,geometric_cast,1,1518.652,792,1,true
baseline,4,array_named,8192,514200,863844,8192,true
baseline,4,bare_concat,256,20753.125,3296,1,false
baseline,4,array_positional,256,2793.750,2104,0,false
baseline,4,join_mybatis,4,6526.172,5800,4,true
baseline,4,join_positional,4,5043.799,3824,4,true
baseline,4,deep_unary,1024,215100,128568,1,true
baseline,4,where_positional,16,9929.248,5224,16,true
baseline,4,json_constructor,1,1509.766,1136,0,false
baseline,4,no_parameters,0,1288.477,1248,0,true
baseline,4,array_mybatis,8192,142737600,1814143252,8192,true
baseline,4,join_named,4,5374.023,3968,4,true
baseline,4,deep_unary,4096,856900,510648,1,true
baseline,4,quoted_and_comments,2,1734.570,1192,2,true
baseline,4,array_mybatis,1024,2715175,27681488,1024,true
baseline,4,json_operator,1,1489.063,1128,1,true
baseline,4,where_named,16,11075.293,7960,16,true
baseline,4,where_positional,128,76297.412,35904,128,true
baseline,4,deep_unary,256,55743.750,33048,1,true
baseline,4,jdbc_escape,1,1830.566,1176,1,true
baseline,4,array_positional,1024,9575,6712,0,false
baseline,4,where_positional,2,1662.305,1456,2,true
baseline,4,array_named,256,14528.125,22776,256,true
baseline,4,where_mybatis,2,2541.553,2552,2,true
baseline,4,array_positional,8192,80650,139940,0,false
baseline,4,bare_concat,8192,617000,127628,1,false
baseline,4,array_mybatis,4096,38204500,453553324,4096,true
baseline,4,bare_concat,1024,77562.500,11360,1,false
baseline,4,bare_concat,4096,324400,43616,1,false
baseline,4,where_mybatis,16,15529.199,14656,16,true
baseline,4,array_mybatis,256,212162.500,1777536,256,true
baseline,4,array_positional,4096,36450,25144,0,false
baseline,4,where_named,2,1998.633,1816,2,true
baseline,4,deep_unary,8192,1705550,1061092,1,true
baseline,4,cached_positional_same,2,12.968,0,2,true
baseline,4,cached_positional_equal,2,16.048,0,2,true
baseline,4,cached_named_same,2,12.141,0,2,true
baseline,4,cached_named_equal,2,16.219,0,2,true
baseline,5,deep_unary,1024,210562.500,128568,1,true
baseline,5,no_parameters,0,1251.318,1248,0,true
baseline,5,array_positional,1024,9512.500,6712,0,false
baseline,5,where_positional,2,1652.197,1456,2,true
baseline,5,array_mybatis,4096,37236350,453545136,4096,true
baseline,5,array_named,256,15368.750,22776,256,true
baseline,5,where_named,2,1969.189,1816,2,true
baseline,5,array_named,8192,520150,863844,8192,true
baseline,5,array_positional,256,2750,2104,0,false
