version,fork,shape,size,batch,samples,median_ns,median_bytes,expected,min_count,max_count,errors
before,3,short_no_parameters,1,1000,9,1491.100,1472.000,0,0,0,0
before,3,short_named,2,1000,9,2319.200,2312.000,2,2,2,0
before,3,short_positional,2,1000,9,2155.900,1672.424,2,2,2,0
before,3,where_positional,16,250,9,11570.000,6104.000,16,16,16,0
before,3,json_null,1,1000,9,1329.000,1024.000,0,1,1,0
before,3,json_format_named,1,1000,9,2797.300,2992.424,1,-1,-1,9000
before,3,bare_concat,2000,8,9,470925.000,80525.000,2000,1999,1999,0
before,3,bare_concat,4000,4,9,938250.000,148442.000,4000,3999,3999,0
before,3,bare_concat,8000,2,9,1862650.000,415036.000,8000,7999,7999,0
before,3,bare_concat,16000,1,9,3762800.000,783072.000,16000,15999,15999,0
before,3,bare_concat,32000,1,9,7532700.000,1488864.000,32000,31999,31999,0
before,3,array_concat,2000,8,9,223887.500,505088.000,2000,2000,2000,0
before,3,array_concat,4000,4,9,426750.000,927888.000,4000,4000,4000,0
before,3,array_concat,8000,2,9,894700.000,2322096.000,8000,8000,8000,0
before,3,array_concat,16000,1,9,1740500.000,4526832.000,16000,16000,16000,0
before,3,array_concat,32000,1,9,3647400.000,8741120.000,32000,32000,32000,0
before,3,array_plus,2000,8,9,369812.500,761253.000,2000,2000,2000,0
before,3,array_plus,4000,4,9,725500.000,1596586.000,4000,4000,4000,0
before,3,array_plus,8000,2,9,1534700.000,3443604.000,8000,8000,8000,0
before,3,array_plus,16000,1,9,2919700.000,6780584.000,16000,16000,16000,0
before,3,array_plus,32000,1,9,6260300.000,12614312.000,32000,32000,32000,0
before,3,unary_cast,2000,8,9,2573375.000,3163584.000,2000,4000,4000,0
before,3,unary_cast,4000,4,9,5084925.000,6600896.000,4000,8000,8000,0
before,3,unary_cast,8000,2,9,10013300.000,12251968.000,8000,16000,16000,0
before,3,unary_cast,16000,1,9,20840700.000,26001288.000,16000,32000,32000,0
before,3,unary_cast,32000,1,9,41262500.000,51399056.000,32000,64000,64000,0
before,3,deep_unary,2000,8,9,487275.000,256413.000,1,2,2,0
before,3,deep_unary,4000,4,9,976550.000,511218.000,1,2,2,0
before,3,deep_unary,8000,2,9,1907700.000,1020820.000,1,2,2,0
before,3,deep_unary,16000,1,9,3796100.000,2056400.000,1,2,2,0
before,3,deep_unary,32000,1,9,7713100.000,4143960.000,1,2,2,0
before,3,cached_short,2,500000,9,13.481,0.000,2,2,2,0
