version,fork,shape,size,batch,samples,median_ns,median_bytes,expected,min_count,max_count,errors
current,3,short_no_parameters,1,1000,9,1381.300,1472.000,0,0,0,0
current,3,short_named,2,1000,9,2148.600,2312.000,2,2,2,0
current,3,short_positional,2,1000,9,2889.600,1800.424,2,2,2,0
current,3,where_positional,16,250,9,13919.200,6376.000,16,16,16,0
current,3,json_null,1,1000,9,1611.400,912.000,0,0,0,0
current,3,json_format_named,1,1000,9,2684.600,1704.424,1,1,1,0
current,3,bare_concat,2000,8,9,231825.000,111981.000,2000,2000,2000,0
current,3,bare_concat,4000,4,9,455900.000,205330.000,4000,4000,4000,0
current,3,bare_concat,8000,2,9,933000.000,571772.000,8000,8000,8000,0
current,3,bare_concat,16000,1,9,1804500.000,1065152.000,16000,16000,16000,0
current,3,bare_concat,32000,1,9,3599400.000,1998288.000,32000,32000,32000,0
current,3,array_concat,2000,8,9,269187.500,505256.000,2000,2000,2000,0
current,3,array_concat,4000,4,9,545475.000,928056.000,4000,4000,4000,0
current,3,array_concat,8000,2,9,1218100.000,2322264.000,8000,8000,8000,0
current,3,array_concat,16000,1,9,2198600.000,4527000.000,16000,16000,16000,0
current,3,array_concat,32000,1,9,4187100.000,8741288.000,32000,32000,32000,0
current,3,array_plus,2000,8,9,486112.500,761421.000,2000,2000,2000,0
current,3,array_plus,4000,4,9,930900.000,1596754.000,4000,4000,4000,0
current,3,array_plus,8000,2,9,1965550.000,3443772.000,8000,8000,8000,0
current,3,array_plus,16000,1,9,3693600.000,6780752.000,16000,16000,16000,0
current,3,array_plus,32000,1,9,7479900.000,12614480.000,32000,32000,32000,0
current,3,unary_cast,2000,8,9,3089337.500,3198152.000,2000,2000,2000,0
current,3,unary_cast,4000,4,9,6302000.000,6473800.000,4000,4000,4000,0
current,3,unary_cast,8000,2,9,12238750.000,12294888.000,8000,8000,8000,0
current,3,unary_cast,16000,1,9,25194500.000,26180208.000,16000,16000,16000,0
current,3,unary_cast,32000,1,9,52190000.000,51920024.000,32000,32000,32000,0
current,3,deep_unary,2000,8,9,689600.000,289093.000,1,1,1,0
current,3,deep_unary,4000,4,9,1378200.000,576298.000,1,1,1,0
current,3,deep_unary,8000,2,9,2733500.000,1150684.000,1,1,1,0
current,3,deep_unary,16000,1,9,5535000.000,2315816.000,1,1,1,0
current,3,deep_unary,32000,1,9,10899100.000,4662464.000,1,1,1,0
current,3,cached_short,2,500000,9,12.764,0.000,2,2,2,0
