version,fork,shape,size,batch,samples,median_ns,median_bytes,expected,min_count,max_count,errors
current,2,short_no_parameters,1,1000,9,1348.400,1472.000,0,0,0,0
current,2,short_named,2,1000,9,2154.300,2328.424,2,2,2,0
current,2,short_positional,2,1000,9,2757.600,1800.424,2,2,2,0
current,2,where_positional,16,250,9,13982.800,6376.000,16,16,16,0
current,2,json_null,1,1000,9,1512.100,912.000,0,0,0,0
current,2,json_format_named,1,1000,9,2490.200,1688.000,1,1,1,0
current,2,bare_concat,2000,8,9,224900.000,109928.000,2000,2000,2000,0
current,2,bare_concat,4000,4,9,450775.000,205330.000,4000,4000,4000,0
current,2,bare_concat,8000,2,9,935450.000,579984.000,8000,8000,8000,0
current,2,bare_concat,16000,1,9,1764900.000,1065152.000,16000,16000,16000,0
current,2,bare_concat,32000,1,9,3526300.000,1998288.000,32000,32000,32000,0
current,2,array_concat,2000,8,9,248187.500,507309.000,2000,2000,2000,0
current,2,array_concat,4000,4,9,492350.000,928056.000,4000,4000,4000,0
current,2,array_concat,8000,2,9,1103200.000,2314052.000,8000,8000,8000,0
current,2,array_concat,16000,1,9,2198900.000,4527000.000,16000,16000,16000,0
current,2,array_concat,32000,1,9,4138600.000,8724864.000,32000,32000,32000,0
current,2,array_plus,2000,8,9,448325.000,761421.000,2000,2000,2000,0
current,2,array_plus,4000,4,9,933250.000,1592648.000,4000,4000,4000,0
current,2,array_plus,8000,2,9,1795300.000,3443772.000,8000,8000,8000,0
current,2,array_plus,16000,1,9,3612300.000,6780752.000,16000,16000,16000,0
current,2,array_plus,32000,1,9,7258500.000,12630904.000,32000,32000,32000,0
current,2,unary_cast,2000,8,9,3003362.500,3196099.000,2000,2000,2000,0
current,2,unary_cast,4000,4,9,6006075.000,6473800.000,4000,4000,4000,0
current,2,unary_cast,8000,2,9,12001750.000,12286676.000,8000,8000,8000,0
current,2,unary_cast,16000,1,9,24804300.000,26196632.000,16000,16000,16000,0
current,2,unary_cast,32000,1,9,49859000.000,51920024.000,32000,32000,32000,0
current,2,deep_unary,2000,8,9,622425.000,289093.000,1,1,1,0
current,2,deep_unary,4000,4,9,1246025.000,572192.000,1,1,1,0
current,2,deep_unary,8000,2,9,2476200.000,1142472.000,1,1,1,0
current,2,deep_unary,16000,1,9,4950800.000,2332240.000,1,1,1,0
current,2,deep_unary,32000,1,9,10101600.000,4678888.000,1,1,1,0
current,2,cached_short,2,500000,9,13.312,0.000,2,2,2,0
