version,fork,shape,size,batch,samples,median_ns,median_bytes,expected,min_count,max_count,errors
before,2,short_no_parameters,1,1000,9,1450.800,1472.000,0,0,0,0
before,2,short_named,2,1000,9,2391.100,2328.424,2,2,2,0
before,2,short_positional,2,1000,9,2090.300,1672.424,2,2,2,0
before,2,where_positional,16,250,9,11059.600,6104.000,16,16,16,0
before,2,json_null,1,1000,9,1311.200,1024.000,0,1,1,0
before,2,json_format_named,1,1000,9,2676.500,2992.424,1,-1,-1,9000
before,2,bare_concat,2000,8,9,462950.000,78472.000,2000,1999,1999,0
before,2,bare_concat,4000,4,9,943525.000,148442.000,4000,3999,3999,0
before,2,bare_concat,8000,2,9,1874400.000,423248.000,8000,7999,7999,0
before,2,bare_concat,16000,1,9,3700200.000,783072.000,16000,15999,15999,0
before,2,bare_concat,32000,1,9,7402500.000,1488912.000,32000,31999,31999,0
before,2,array_concat,2000,8,9,220350.000,507141.000,2000,2000,2000,0
before,2,array_concat,4000,4,9,424475.000,927936.000,4000,4000,4000,0
before,2,array_concat,8000,2,9,966950.000,2313932.000,8000,8000,8000,0
before,2,array_concat,16000,1,9,1894600.000,4526832.000,16000,16000,16000,0
before,2,array_concat,32000,1,9,3450400.000,8724696.000,32000,32000,32000,0
before,2,array_plus,2000,8,9,365975.000,761253.000,2000,2000,2000,0
before,2,array_plus,4000,4,9,713625.000,1592480.000,4000,4000,4000,0
before,2,array_plus,8000,2,9,1504050.000,3443604.000,8000,8000,8000,0
before,2,array_plus,16000,1,9,2937000.000,6780632.000,16000,16000,16000,0
before,2,array_plus,32000,1,9,5935800.000,12630736.000,32000,32000,32000,0
before,2,unary_cast,2000,8,9,2511350.000,3161531.000,2000,4000,4000,0
before,2,unary_cast,4000,4,9,5109275.000,6600896.000,4000,8000,8000,0
before,2,unary_cast,8000,2,9,10053300.000,12243756.000,8000,16000,16000,0
before,2,unary_cast,16000,1,9,29212000.000,26017712.000,16000,32000,32000,0
before,2,unary_cast,32000,1,9,40347000.000,51399056.000,32000,64000,64000,0
before,2,deep_unary,2000,8,9,461062.500,256413.000,1,2,2,0
before,2,deep_unary,4000,4,9,927925.000,507112.000,1,2,2,0
before,2,deep_unary,8000,2,9,1853200.000,1012608.000,1,2,2,0
before,2,deep_unary,16000,1,9,3712000.000,2072824.000,1,2,2,0
before,2,deep_unary,32000,1,9,7350900.000,4160384.000,1,2,2,0
before,2,cached_short,2,500000,9,12.828,0.000,2,2,2,0
