version,fork,shape,size,ns,bytes,count,equivalent
baseline,3,join_mybatis,4,6641.016,5896,4,true
baseline,3,bare_concat,4096,324100,43616,1,false
baseline,3,join_named,4,5822.949,3968,4,true
baseline,3,where_positional,2,1701.709,1456,2,true
baseline,3,jdbc_escape,1,1940.332,1176,1,true
baseline,3,array_positional,4096,37050,25144,0,false
baseline,3,bare_concat,8192,625500,127628,1,false
baseline,3,where_mybatis,2,2650.293,2600,2,true
baseline,3,array_mybatis,8192,177428700,1814143276,8192,true
baseline,3,cached_positional_same,2,12.720,0,2,true
baseline,3,cached_positional_equal,2,16.293,0,2,true
baseline,3,cached_named_same,2,13.190,0,2,true
baseline,3,cached_named_equal,2,25.111,0,2,true
baseline,4,array_named,4096,267100,395776,4096,true
baseline,4,array_named,1024,59600,87088,1024,true
baseline,4,geometric_cast,1,1558.887,792,1,true
baseline,4,array_named,8192,546850,863844,8192,true
baseline,4,bare_concat,256,21800,3296,1,false
baseline,4,array_positional,256,3284.375,2104,0,false
baseline,4,join_mybatis,4,6781.934,5896,4,true
baseline,4,join_positional,4,5170.264,3824,4,true
baseline,4,deep_unary,1024,223975,128568,1,true
baseline,4,where_positional,16,10014.893,5224,16,true
baseline,4,json_constructor,1,1590.381,1136,0,false
baseline,4,no_parameters,0,1268.018,1248,0,true
baseline,4,array_mybatis,8192,170395200,1814143276,8192,true
baseline,4,join_named,4,5473.047,3968,4,true
baseline,4,deep_unary,4096,948250,510648,1,true
baseline,4,quoted_and_comments,2,1710.449,1192,2,true
baseline,4,array_mybatis,1024,2692937.500,27681512,1024,true
baseline,4,json_operator,1,1549.463,1128,1,true
baseline,4,where_named,16,11713.623,7960,16,true
baseline,4,where_positional,128,77359.521,35904,128,true
baseline,4,deep_unary,256,57118.750,33048,1,true
baseline,4,jdbc_escape,1,1860.889,1176,1,true
baseline,4,array_positional,1024,9825,6712,0,false
baseline,4,where_positional,2,1667.041,1456,2,true
baseline,4,array_named,256,14540.625,22776,256,true
baseline,4,where_mybatis,2,2664.648,2600,2,true
baseline,4,array_positional,8192,80700,139940,0,false
baseline,4,bare_concat,8192,622650,127628,1,false
baseline,4,array_mybatis,4096,39855800,453553348,4096,true
baseline,4,bare_concat,1024,78075,11360,1,false
baseline,4,bare_concat,4096,315300,43616,1,false
baseline,4,where_mybatis,16,15937.207,15040,16,true
baseline,4,array_mybatis,256,223056.250,1777560,256,true
baseline,4,array_positional,4096,37500,25144,0,false
baseline,4,where_named,2,2023.389,1816,2,true
baseline,4,deep_unary,8192,1754250,1061092,1,true
baseline,4,cached_positional_same,2,13.667,0,2,true
baseline,4,cached_positional_equal,2,18.257,0,2,true
baseline,4,cached_named_same,2,12.907,0,2,true
baseline,4,cached_named_equal,2,17.572,0,2,true
baseline,5,deep_unary,1024,217375,128568,1,true
baseline,5,no_parameters,0,1353.760,1248,0,true
baseline,5,array_positional,1024,11612.500,6712,0,false
baseline,5,where_positional,2,1715.967,1456,2,true
baseline,5,array_mybatis,4096,39115500,453545112,4096,true
baseline,5,array_named,256,15968.750,22776,256,true
baseline,5,where_named,2,2082.080,1816,2,true
baseline,5,array_named,8192,593550,863844,8192,true
baseline,5,array_positional,256,3231.250,2104,0,false
baseline,5,deep_unary,8192,1740900,1061092,1,true
baseline,5,where_mybatis,2,2635.693,2552,2,true
baseline,5,json_constructor,1,1552.100,1136,0,false
baseline,5,join_named,4,5637.256,3968,4,true
baseline,5,deep_unary,256,57234.375,33048,1,true
baseline,5,where_positional,128,78470.996,35904,128,true
baseline,5,array_mybatis,8192,172778050,1814143252,8192,true
baseline,5,bare_concat,256,20837.500,3809.250,1,false
baseline,5,bare_concat,8192,633900,127628,1,false
baseline,5,where_mybatis,16,16615.137,14656,16,true
baseline,5,array_named,4096,291550,395776,4096,true
baseline,5,join_positional,4,5183.057,3824,4,true
baseline,5,bare_concat,4096,327600,43616,1,false
baseline,5,where_named,16,11736.523,7960,16,true
baseline,5,jdbc_escape,1,1893.848,1176,1,true
baseline,5,quoted_and_comments,2,1798.584,1192,2,true
baseline,5,array_mybatis,1024,2746550,27681488,1024,true
baseline,5,geometric_cast,1,1707.471,792,1,true
baseline,5,array_mybatis,256,246621.875,1777536,256,true
baseline,5,array_positional,8192,90250,139940,0,false
baseline,5,where_positional,16,10394.775,5224,16,true
baseline,5,bare_concat,1024,81125,11360,1,false
baseline,5,array_positional,4096,43150,25144,0,false
baseline,5,json_operator,1,1547.852,1128,1,true
baseline,5,array_named,1024,65887.500,87088,1024,true
baseline,5,deep_unary,4096,887050,510648,1,true
baseline,5,join_mybatis,4,6800.391,5800,4,true
baseline,5,cached_positional_same,2,14.072,0,2,true
baseline,5,cached_positional_equal,2,18.316,0,2,true
baseline,5,cached_named_same,2,13.064,0,2,true
