version,case,fork,ns,bytes
baseline,index_composite_comments,5,638.601,792
baseline,index_hash,1,136749.708,128880
baseline,index_hash,2,134071.429,129240
baseline,index_hash,3,138285.714,128880
baseline,index_hash,4,131899.398,128880
baseline,index_hash,5,135330.519,128880
baseline,tokenize_hash_identifiers,1,66526.727,65528
baseline,tokenize_hash_identifiers,2,75229.08,65528
baseline,tokenize_hash_identifiers,3,75223.103,65528
baseline,tokenize_hash_identifiers,4,66567.203,65528
baseline,tokenize_hash_identifiers,5,66965.3,65528
baseline,tokenize_backslashes,1,365.665,488
baseline,tokenize_backslashes,2,356.33,488
baseline,tokenize_backslashes,3,489.38,488
baseline,tokenize_backslashes,4,324.15,488
baseline,tokenize_backslashes,5,380.118,488
baseline,walk_bounds_comments,1,3020.607,0
baseline,walk_bounds_comments,2,3088.784,0
baseline,walk_bounds_comments,3,5903.426,0
baseline,walk_bounds_comments,4,5647.734,0
baseline,walk_bounds_comments,5,2681.236,0
baseline,read_executable_comment,1,131.758,248
baseline,read_executable_comment,2,118.774,248
baseline,read_executable_comment,3,129.164,248
baseline,read_executable_comment,4,119.291,248
baseline,read_executable_comment,5,117.647,248
baseline,read_insert_cte,1,26737.212,34976
baseline,read_insert_cte,2,25688.491,34976
baseline,read_insert_cte,3,23553.812,34976
baseline,read_insert_cte,4,25295.074,34976
baseline,read_insert_cte,5,24195.525,34976
baseline,read_literal,1,3742.569,4032
baseline,read_literal,2,3965.626,4032
baseline,read_literal,3,3904.461,3936
baseline,read_literal,4,3914.683,4032
baseline,read_literal,5,3537.277,4032
baseline,read_insert_mutation,1,353.769,520
baseline,read_insert_mutation,2,349.088,520
baseline,read_insert_mutation,3,378.02,520
baseline,read_insert_mutation,4,306.004,520
baseline,read_insert_mutation,5,328.64,520
baseline,walk_tokens_hash,1,273449.153,255456
baseline,walk_tokens_hash,2,276407.317,255456
baseline,walk_tokens_hash,3,267421.053,255456
baseline,walk_tokens_hash,4,250449.351,255456
baseline,walk_tokens_hash,5,271744.068,255456
baseline,config_default,1,2799.573,9880
baseline,config_default,2,3187.547,9880
baseline,config_default,3,3033.162,9880
baseline,config_default,4,2926.475,9880
baseline,config_default,5,3081.978,9880
baseline,read_insert_multiple,1,3932.731,6208
baseline,read_insert_multiple,2,4227.005,6208
baseline,read_insert_multiple,3,5015.664,6208
baseline,read_insert_multiple,4,4060.106,6208
baseline,read_insert_multiple,5,3878.938,6208
baseline,next_hash,1,408.081,336
baseline,next_hash,2,438.089,336
baseline,next_hash,3,643.938,336
baseline,next_hash,4,497.719,336
baseline,next_hash,5,382.407,336
baseline,read_insert_upsert,1,2244.313,2696
baseline,read_insert_upsert,2,2118.35,2696
