version,fork,shape,size,median_ns,median_bytes,expected,min_count,max_count,semantic_match
baseline,3,deep_unary,1024,222537.500,130621,1,1,1,true
baseline,3,array_named,8192,535100,863844,8192,8192,8192,true
baseline,3,array_positional,1024,10025,6712,1024,0,0,false
baseline,3,join_mybatis,4,6652.734,5800,4,4,4,true
baseline,3,bare_concat,4096,317650,43616,4096,1,1,false
baseline,3,join_named,4,5407.861,3968,4,4,4,true
baseline,3,where_positional,2,1703.564,1456,2,2,2,true
baseline,3,jdbc_escape,1,1881.787,1176,1,1,1,true
baseline,3,array_positional,4096,42650,25144,4096,0,0,false
baseline,3,bare_concat,8192,710050,127628,8192,1,1,false
baseline,3,where_mybatis,2,2556.250,2552,2,2,2,true
baseline,3,array_mybatis,8192,156742100,1814143252,8192,8192,8192,true
baseline,3,cached_positional_same,2,15.460,0,2,2,2,true
baseline,3,cached_positional_equal,2,22.373,0,2,2,2,true
baseline,3,cached_named_same,2,17.133,0,2,2,2,true
baseline,3,cached_named_equal,2,22.096,0,2,2,2,true
baseline,4,array_named,4096,268350,395776,4096,4096,4096,true
baseline,4,array_named,1024,67337.500,87088,1024,1024,1024,true
baseline,4,geometric_cast,1,1644.336,792,1,1,1,true
baseline,4,array_named,8192,587050,863844,8192,8192,8192,true
baseline,4,bare_concat,256,21968.750,3296,256,1,1,false
baseline,4,array_positional,256,2728.125,2104,256,0,0,false
baseline,4,join_mybatis,4,6953.223,5800,4,4,4,true
baseline,4,join_positional,4,5516.846,3824,4,4,4,true
baseline,4,deep_unary,1024,225887.500,128568,1,1,1,true
baseline,4,where_positional,16,10661.963,5224,16,16,16,true
baseline,4,json_constructor,1,1597.266,1136,1,0,0,false
baseline,4,no_parameters,0,1289.941,1248,0,0,0,true
baseline,4,array_mybatis,8192,157330200,1814143252,8192,8192,8192,true
baseline,4,join_named,4,5564.404,3968,4,4,4,true
baseline,4,deep_unary,4096,884950,510648,1,1,1,true
baseline,4,quoted_and_comments,2,1913.281,1192,2,2,2,true
baseline,4,array_mybatis,1024,2908062.500,27681488,1024,1024,1024,true
baseline,4,json_operator,1,1708.545,1128,1,1,1,true
baseline,4,where_named,16,11886.768,7960,16,16,16,true
baseline,4,where_positional,128,81023.682,35904,128,128,128,true
baseline,4,deep_unary,256,59009.375,33048,1,1,1,true
baseline,4,jdbc_escape,1,2024.756,1176,1,1,1,true
baseline,4,array_positional,1024,9787.500,6712,1024,0,0,false
baseline,4,where_positional,2,1698.877,1456,2,2,2,true
baseline,4,array_named,256,16684.375,22776,256,256,256,true
baseline,4,where_mybatis,2,2646.973,2552,2,2,2,true
baseline,4,array_positional,8192,83950,139940,8192,0,0,false
baseline,4,bare_concat,8192,645750,127628,8192,1,1,false
baseline,4,array_mybatis,4096,40094100,453553324,4096,4096,4096,true
baseline,4,bare_concat,1024,81137.500,11360,1024,1,1,false
baseline,4,bare_concat,4096,323650,43616,4096,1,1,false
baseline,4,where_mybatis,16,16262.549,14656,16,16,16,true
baseline,4,array_mybatis,256,208146.875,1777536,256,256,256,true
baseline,4,array_positional,4096,37450,25144,4096,0,0,false
baseline,4,where_named,2,2013.770,1816,2,2,2,true
baseline,4,deep_unary,8192,1763050,1061092,1,1,1,true
baseline,4,cached_positional_same,2,13.831,0,2,2,2,true
baseline,4,cached_positional_equal,2,24.182,0,2,2,2,true
baseline,4,cached_named_same,2,18.067,0,2,2,2,true
baseline,4,cached_named_equal,2,23.103,0,2,2,2,true
baseline,5,deep_unary,1024,248762.500,128568,1,1,1,true
baseline,5,no_parameters,0,1262.793,1248,0,0,0,true
baseline,5,array_positional,1024,9550,6712,1024,0,0,false
baseline,5,where_positional,2,2113.379,1456,2,2,2,true
baseline,5,array_mybatis,4096,39208100,453545112,4096,4096,4096,true
baseline,5,array_named,256,16984.375,22776,256,256,256,true
baseline,5,where_named,2,2673.291,1816,2,2,2,true
baseline,5,array_named,8192,565250,863844,8192,8192,8192,true
baseline,5,array_positional,256,3596.875,2104,256,0,0,false
baseline,5,deep_unary,8192,2303950,1061092,1,1,1,true
baseline,5,where_mybatis,2,3469.678,2552,2,2,2,true
baseline,5,json_constructor,1,1643.359,1136,1,0,0,false
baseline,5,join_named,4,5729.297,3968,4,4,4,true
baseline,5,deep_unary,256,57146.875,33048,1,1,1,true
baseline,5,where_positional,128,83623.242,35904,128,128,128,true
baseline,5,array_mybatis,8192,164849050,1814143252,8192,8192,8192,true
baseline,5,bare_concat,256,20921.875,3809.250,256,1,1,false
baseline,5,bare_concat,8192,651650,127628,8192,1,1,false
baseline,5,where_mybatis,16,16157.471,14656,16,16,16,true
baseline,5,array_named,4096,276150,395776,4096,4096,4096,true
baseline,5,join_positional,4,5750.586,3824,4,4,4,true
baseline,5,bare_concat,4096,333100,43616,4096,1,1,false
baseline,5,where_named,16,13822.656,7960,16,16,16,true
baseline,5,jdbc_escape,1,2168.701,1176,1,1,1,true
baseline,5,quoted_and_comments,2,2057.715,1192,2,2,2,true
baseline,5,array_mybatis,1024,2610087.500,27681488,1024,1024,1024,true
baseline,5,geometric_cast,1,1788.232,792,1,1,1,true
baseline,5,array_mybatis,256,210375,1777536,256,256,256,true
baseline,5,array_positional,8192,79500,139940,8192,0,0,false
baseline,5,where_positional,16,11438.477,5224,16,16,16,true
baseline,5,bare_concat,1024,88375,11360,1024,1,1,false
baseline,5,array_positional,4096,40000,25144,4096,0,0,false
baseline,5,json_operator,1,1516.846,1128,1,1,1,true
baseline,5,array_named,1024,64687.500,87088,1024,1024,1024,true
baseline,5,deep_unary,4096,887650,510648,1,1,1,true
baseline,5,join_mybatis,4,7160.303,5800,4,4,4,true
baseline,5,cached_positional_same,2,21.789,0,2,2,2,true
baseline,5,cached_positional_equal,2,29.138,0,2,2,2,true
baseline,5,cached_named_same,2,20.653,0,2,2,2,true
baseline,5,cached_named_equal,2,28.467,0,2,2,2,true
current,1,array_positional,4096,973250,1613680,4096,4096,4096,true
current,1,array_mybatis,1024,233325,316088,1024,1024,1024,true
current,1,quoted_and_comments,2,2921.680,1608,2,2,2,true
current,1,array_named,4096,342950,510400,4096,4096,4096,true
current,1,no_parameters,0,1403.271,1400,0,0,0,true
current,1,where_positional,16,14768.311,6128,16,16,16,true
current,1,deep_unary,256,81343.750,38384,1,1,1,true
current,1,array_positional,1024,224500,418688,1024,1024,1024,true
current,1,array_named,256,18368.750,30168,256,256,256,true
current,1,json_constructor,1,2440.918,1576,1,1,1,true
current,1,where_positional,128,105815.332,42632,128,128,128,true
current,1,array_mybatis,8192,1858950,2745516,8192,8192,8192,true
current,1,geometric_cast,1,2158.203,1400,1,1,1,true
current,1,array_positional,8192,1807650,3567740,8192,8192,8192,true
current,1,where_mybatis,2,3093.701,4008,2,2,2,true
current,1,bare_concat,256,30925,13512,256,256,256,true
current,1,where_positional,2,2953.662,1872,2,2,2,true
current,1,deep_unary,4096,1262000,585168,1,1,1,true
current,1,array_positional,256,58928.125,101681.250,256,256,256,true
current,1,where_named,16,11963.525,11552,16,16,16,true
current,1,bare_concat,1024,126512.500,61056,1024,1024,1024,true
current,1,join_positional,4,8974.512,4312,4,4,4,true
current,1,deep_unary,8192,2551050,1209356,1,1,1,true
current,1,array_mybatis,4096,934350,1272216,4096,4096,4096,true
current,1,where_named,2,2195.801,2384,2,2,2,true
current,1,array_mybatis,256,57134.375,65544,256,256,256,true
current,1,jdbc_escape,1,2627.344,1584,1,1,1,true
current,1,bare_concat,8192,944900,575580,8192,8192,8192,true
current,1,array_named,8192,681100,1178932,8192,8192,8192,true
current,1,deep_unary,1024,317937.500,147760,1,1,1,true
current,1,bare_concat,4096,482050,203160,4096,4096,4096,true
current,1,array_named,1024,79812.500,122336,1024,1024,1024,true
current,1,join_mybatis,4,8014.648,8616,4,4,4,true
current,1,json_operator,1,2463.770,1536,1,1,1,true
current,1,where_mybatis,16,18571.631,25368,16,16,16,true
current,1,join_named,4,5742.236,5008,4,4,4,true
current,1,cached_positional_same,2,13.617,0,2,2,2,true
current,1,cached_positional_equal,2,16.414,0,2,2,2,true
current,1,cached_named_same,2,12.670,0,2,2,2,true
current,1,cached_named_equal,2,16.710,0,2,2,2,true
current,2,array_named,8192,705800,1178884,8192,8192,8192,true
current,2,where_mybatis,16,18437.158,25320,16,16,16,true
current,2,deep_unary,8192,2499900,1209308,1,1,1,true
current,2,bare_concat,256,30106.250,13464,256,256,256,true
current,2,deep_unary,1024,308850,147712,1,1,1,true
current,2,where_positional,128,104680.469,42584,128,128,128,true
current,2,where_positional,16,14519.336,6080,16,16,16,true
current,2,array_named,256,18503.125,30120,256,256,256,true
current,2,quoted_and_comments,2,2939.453,1560,2,2,2,true
current,2,join_mybatis,4,7472.119,8568,4,4,4,true
current,2,where_named,16,12012.598,11504,16,16,16,true
current,2,deep_unary,256,78718.750,38336,1,1,1,true
current,2,json_operator,1,2458.643,1488,1,1,1,true
current,2,jdbc_escape,1,2605.811,1536,1,1,1,true
current,2,array_named,4096,334400,510352,4096,4096,4096,true
current,2,array_mybatis,1024,230437.500,316040,1024,1024,1024,true
current,2,array_positional,1024,224775,418640,1024,1024,1024,true
current,2,array_mybatis,256,55865.625,65496,256,256,256,true
current,2,array_mybatis,8192,1904950,2745468,8192,8192,8192,true
current,2,bare_concat,4096,465450,203112,4096,4096,4096,true
current,2,where_named,2,2201.611,2336,2,2,2,true
current,2,geometric_cast,1,2149.658,1352,1,1,1,true
current,2,array_mybatis,4096,925500,1272168,4096,4096,4096,true
current,2,join_positional,4,8216.162,4264,4,4,4,true
current,2,array_named,1024,77550,122288,1024,1024,1024,true
current,2,array_positional,8192,1804900,3567692,8192,8192,8192,true
current,2,where_mybatis,2,3165.918,3960,2,2,2,true
current,2,bare_concat,1024,123825,61008,1024,1024,1024,true
