version,case,fork,ns,bytes,median_batch_ms
baseline,raw_insert_placeholders,5,801.444,1944,13.650194207999998
baseline,raw_repeated_names,1,23071.884,53896,15.181299671999998
baseline,raw_repeated_names,2,22266.19,53896,21.798600009999998
baseline,raw_repeated_names,3,25208.215,53896,8.898499894999999
baseline,raw_repeated_names,4,21270.552,53896,20.441000472
baseline,raw_repeated_names,5,33231.507,53896,14.555400065999999
baseline,positional_dialect_PostgreSQL,1,1106.676,3360,22.328294976
baseline,positional_dialect_PostgreSQL,2,1085.181,3360,9.446500605
baseline,positional_dialect_PostgreSQL,3,1194.55,3360,19.2011967
baseline,positional_dialect_PostgreSQL,4,1058.624,3360,17.822993664000002
baseline,positional_dialect_PostgreSQL,5,1529.647,3360,28.671703367999996
baseline,raw_insert_values,1,1055.422,2464,22.513206682
baseline,raw_insert_values,2,1008.658,2464,20.795501986
baseline,raw_insert_values,3,1244.473,2464,9.637198912
baseline,raw_insert_values,4,1011.507,2464,20.999896827
baseline,raw_insert_values,5,1259.223,2464,10.403700425999999
baseline,raw_late_modifier,1,727.458,2480,19.896703757999997
baseline,raw_late_modifier,2,733.115,2480,19.10790936
baseline,raw_late_modifier,3,838.337,2480,22.085988265
baseline,raw_late_modifier,4,719.957,2480,17.092499136999997
baseline,raw_late_modifier,5,1027.857,2480,15.566894264999998
baseline,raw_update_map,1,1381.488,3592,21.842706768
baseline,raw_update_map,2,1339.88,3592,21.388504440000002
baseline,raw_update_map,3,1534.682,3592,20.824100058000003
baseline,raw_update_map,4,1337.475,3592,21.249802799999998
baseline,raw_update_map,5,1939.346,3592,29.460605085999997
baseline,mybatis_update_map,1,1726.039,4200,15.278897228
baseline,mybatis_update_map,2,1621.134,4224,21.133102824
baseline,mybatis_update_map,3,1799.763,4224,21.303794631
baseline,mybatis_update_map,4,1571.085,4200,18.680200650000003
baseline,mybatis_update_map,5,2022.775,4200,18.22520275
baseline,named_subquery_structured,1,1813.761,5488,20.745798318
baseline,named_subquery_structured,2,1706.035,5488,16.396702385
baseline,named_subquery_structured,3,1966.41,5488,17.39879568
baseline,named_subquery_structured,4,1742.109,5488,21.624799016999997
baseline,named_subquery_structured,5,1948.671,5488,13.340601666000001
baseline,named_insert_values,1,1125.31,3048,11.24859876
baseline,named_insert_values,2,1140.738,3048,19.545404892
baseline,named_insert_values,3,1168.47,3048,13.08920094
baseline,named_insert_values,4,1105.847,3048,17.155004511
baseline,named_insert_values,5,1355.547,3048,12.365299734
baseline,mybatis_select_star,1,290.472,1424,20.450971631999998
baseline,mybatis_select_star,2,302.424,1424,21.80628252
baseline,mybatis_select_star,3,303.88,1424,20.65198868
baseline,mybatis_select_star,4,281.756,1424,22.770674652
baseline,mybatis_select_star,5,338.934,1424,11.998602534000002
baseline,mybatis_repeated_names,1,24815.783,52872,19.182600259
baseline,mybatis_repeated_names,2,28113.916,55944,22.828499792
baseline,mybatis_repeated_names,3,27068.082,55944,19.759699859999998
baseline,mybatis_repeated_names,4,24207.042,52872,20.624399784
baseline,mybatis_repeated_names,5,27833.21,52872,15.08559982
baseline,mybatis_insert_placeholders,1,977.862,2584,19.563107172
baseline,mybatis_insert_placeholders,2,960.1,2584,20.8936962
baseline,mybatis_insert_placeholders,3,1090.451,2584,21.822105412
baseline,mybatis_insert_placeholders,4,954.975,2584,20.4059058
baseline,mybatis_insert_placeholders,5,1287.151,2584,23.200896775000004
baseline,positional_mixed_literals,1,1228.332,2800,21.816404652000003
baseline,positional_mixed_literals,2,1154.114,2800,20.181991518
baseline,positional_mixed_literals,3,1369.53,2800,22.397293620000003
baseline,positional_mixed_literals,4,1136.162,2800,18.358105596
baseline,positional_mixed_literals,5,1378.971,2800,23.128101612
baseline,positional_update_chain_16,1,6484.615,22360,18.71459889
baseline,positional_update_chain_16,2,5760.505,22360,8.44490033
baseline,positional_update_chain_16,3,6689.687,22360,20.109199122
baseline,positional_update_chain_16,4,6449.836,22360,17.691900148000002
baseline,positional_update_chain_16,5,8722.888,22360,28.811699064000003
baseline,raw_batch_4,1,2616.581,7584,22.944798789
baseline,raw_batch_4,2,2650.209,7488,22.147796612999997
baseline,raw_batch_4,3,2846.906,7688,20.107697077999998
baseline,raw_batch_4,4,2545.741,7584,22.384700613
baseline,raw_batch_4,5,3585.885,7584,24.947001945
baseline,positional_dialect_MySQL,1,1058.131,3360,22.032403682
baseline,positional_dialect_MySQL,2,1060.987,3360,17.503102539
baseline,positional_dialect_MySQL,3,1198.352,3360,19.268301808
baseline,positional_dialect_MySQL,4,1006.132,3360,19.88619898
baseline,positional_dialect_MySQL,5,1295.717,3360,25.081193969
baseline,mybatis_retry_rollback,1,4720.513,7568,13.255200504000001
baseline,mybatis_retry_rollback,2,4532.51,7592,21.289199470000003
baseline,mybatis_retry_rollback,3,4739.992,7592,12.314499216
baseline,mybatis_retry_rollback,4,3968.399,7568,16.337898683
baseline,mybatis_retry_rollback,5,4953.781,7568,19.260300528000002
baseline,positional_where_eq,1,923.863,2664,20.991091223
baseline,positional_where_eq,2,918.15,2664,17.8010922
baseline,positional_where_eq,3,1003.595,2664,21.77600431
baseline,positional_where_eq,4,913.956,2664,16.699804032
baseline,positional_where_eq,5,1210.54,2664,27.19720218
baseline,positional_batch_64,1,18058.062,72176,22.175300136000004
baseline,positional_batch_64,2,16651.442,70160,3.463499936
baseline,positional_batch_64,3,19882.224,73720,21.810799727999996
baseline,positional_batch_64,4,18009.259,72176,8.752499874
baseline,positional_batch_64,5,24599.265,72176,3.34550004
baseline,positional_between,1,1146.702,3056,21.872193948
baseline,positional_between,2,1087.224,3056,11.344095216
baseline,positional_between,3,1210.308,3056,19.690500852
baseline,positional_between,4,1107.245,3056,18.203107799999998
baseline,positional_between,5,1286.01,3056,24.000804629999998
baseline,named_join_using,1,996.201,3512,17.699503167
baseline,named_join_using,2,975.048,3512,18.799900488000002
baseline,named_join_using,3,1132.341,3512,15.860700386999998
baseline,named_join_using,4,964.234,3512,17.609805542
baseline,named_join_using,5,1166.035,3512,12.613000595
baseline,named_between,1,1368.327,3800,19.725802032
baseline,named_between,2,1370.572,3800,21.358994047999996
baseline,named_between,3,1542.454,3800,19.99020384
baseline,named_between,4,1273.876,3800,19.212597832
baseline,named_between,5,1641.862,3800,14.970497716
baseline,raw_in_16,1,1714.27,5600,20.03810203
baseline,raw_in_16,2,1680.036,5600,20.634202152000004
baseline,raw_in_16,3,1673.488,5600,10.263501904000002
baseline,raw_in_16,4,1737.908,5600,20.488197412
baseline,raw_in_16,5,2075.54,5600,15.57900324
baseline,positional_naming_KEBAB_CASE,1,4363.935,5888,20.98179948
baseline,positional_naming_KEBAB_CASE,2,4265.671,5888,17.284498892000002
baseline,positional_naming_KEBAB_CASE,3,4576.897,5888,20.50449856
baseline,positional_naming_KEBAB_CASE,4,4215.393,5888,11.748300291
baseline,positional_naming_KEBAB_CASE,5,5459.47,5888,25.539400660000002
baseline,named_naming_UPPER_CAMEL_CASE,1,6195.702,10584,21.480498834000002
baseline,named_naming_UPPER_CAMEL_CASE,2,6314.777,10584,16.879398921
baseline,named_naming_UPPER_CAMEL_CASE,3,6864.242,10584,22.555899212
baseline,named_naming_UPPER_CAMEL_CASE,4,5997.521,10584,19.593901107
baseline,named_naming_UPPER_CAMEL_CASE,5,7969.488,10584,20.99960088
baseline,mybatis_in_17,1,2105.891,6344,19.483703532
baseline,mybatis_in_17,2,2187.655,6752,21.353700455000002
baseline,mybatis_in_17,3,2441.001,6752,13.454797512000003
baseline,mybatis_in_17,4,1922.922,6344,19.731102642
baseline,mybatis_in_17,5,2776.852,6344,24.364099447999997
baseline,named_dialect_PostgreSQL,1,1380.704,4144,21.77370208
baseline,named_dialect_PostgreSQL,2,1407.83,4144,10.87830241
baseline,named_dialect_PostgreSQL,3,1554.442,4144,21.73109916
baseline,named_dialect_PostgreSQL,4,1323.768,4144,11.823895776
baseline,named_dialect_PostgreSQL,5,1712.03,4144,24.80560267
baseline,mybatis_pagination,1,1116.528,3808,8.74799688
baseline,mybatis_pagination,2,1197.185,3832,21.260808415
baseline,mybatis_pagination,3,1361.653,3832,13.227097242000001
baseline,mybatis_pagination,4,1144.718,3808,18.484906264000003
baseline,mybatis_pagination,5,1417.471,3808,21.905596833999997
baseline,mybatis_naming_SCREAMING_SNAKE_CASE,1,5786.634,9000,21.040201224
baseline,mybatis_naming_SCREAMING_SNAKE_CASE,2,6013.195,9384,12.212799045
baseline,mybatis_naming_SCREAMING_SNAKE_CASE,3,6480.057,9384,20.340898923
baseline,mybatis_naming_SCREAMING_SNAKE_CASE,4,5500.174,9000,12.672400896
baseline,mybatis_naming_SCREAMING_SNAKE_CASE,5,7135.79,9000,24.78259867
baseline,positional_dialect_DB2,1,1123.416,3544,20.480997095999996
baseline,positional_dialect_DB2,2,1070.849,3544,11.615499103
baseline,positional_dialect_DB2,3,1184.573,3544,17.338595001
baseline,positional_dialect_DB2,4,1094.401,3544,20.737804549000003
baseline,positional_dialect_DB2,5,1582.429,3544,28.170401058000003
baseline,mybatis_in_1024,1,96090.955,256896,19.122100045000003
baseline,mybatis_in_1024,2,107904.902,281472,22.012600008
baseline,mybatis_in_1024,3,112825.352,281472,16.021199984
baseline,mybatis_in_1024,4,94515.152,256896,18.714000096
baseline,mybatis_in_1024,5,105055.357,256896,17.649299976
baseline,named_in_17,1,2312.441,7888,20.409604266
baseline,named_in_17,2,2233.001,7888,19.737495839
baseline,named_in_17,3,2456.167,7888,21.528303755
baseline,named_in_17,4,2286.364,7888,13.967397676000001
baseline,named_in_17,5,3105.427,7888,24.663301234000002
baseline,raw_pagination,1,986.491,3400,20.256606194
baseline,raw_pagination,2,1030.388,3400,20.660309788
baseline,raw_pagination,3,1110.721,3400,19.477603456
baseline,raw_pagination,4,979.964,3400,20.488107348
baseline,raw_pagination,5,1187.274,3400,10.253298263999998
baseline,custom_handler_union,1,10760.466,16536,20.304999342
baseline,custom_handler_union,2,10751.172,16536,19.728400620000002
baseline,custom_handler_union,3,10807.958,16536,15.347300360000002
baseline,custom_handler_union,4,10105.606,16536,17.664599287999998
baseline,custom_handler_union,5,13543.461,16536,23.714600211
baseline,mybatis_select_expressions,1,2129.243,2728,12.181399203
baseline,mybatis_select_expressions,2,2124.131,2728,21.513198768
baseline,mybatis_select_expressions,3,2310.254,2728,8.358498972
baseline,mybatis_select_expressions,4,2031.443,2728,20.958397430999998
baseline,mybatis_select_expressions,5,2757.328,2728,14.65519832
baseline,raw_select_entity,1,575.336,2000,19.603998864
baseline,raw_select_entity,2,583.952,2000,21.04271032
baseline,raw_select_entity,3,585.977,2000,4.496201521
baseline,raw_select_entity,4,573.451,2000,20.37471403
baseline,raw_select_entity,5,689.722,2000,13.327498206
baseline,positional_naming_SCREAMING_SNAKE_CASE,1,4606.453,5904,21.415399997
baseline,positional_naming_SCREAMING_SNAKE_CASE,2,4410.342,5904,15.991900091999998
baseline,positional_naming_SCREAMING_SNAKE_CASE,3,4547.047,5904,19.938801095
baseline,positional_naming_SCREAMING_SNAKE_CASE,4,4254.18,5904,7.836199560000001
baseline,positional_naming_SCREAMING_SNAKE_CASE,5,5483.249,5904,26.122198236
baseline,positional_group_order,1,3125.057,6336,20.566000116999998
baseline,positional_group_order,2,3054.729,6336,17.955697062
baseline,positional_group_order,3,3518.234,6336,16.690502096
baseline,positional_group_order,4,3156.65,6336,11.2503006
baseline,positional_group_order,5,3658.885,6336,18.634701305
baseline,positional_batch_beans,1,4105.887,10464,20.225599362
baseline,positional_batch_beans,2,4442.692,11264,8.08569944
baseline,positional_batch_beans,3,4286.256,10536,10.291300656
baseline,positional_batch_beans,4,3855.867,10464,11.401798719
baseline,positional_batch_beans,5,4864.628,10464,26.254397316
baseline,named_in_16,1,2171.107,7600,21.137897752
baseline,named_in_16,2,2196.227,7600,21.364896255999998
baseline,named_in_16,3,2430.792,7600,19.703999952
baseline,named_in_16,4,2125.852,7600,19.842702568
baseline,named_in_16,5,3108.208,7600,21.698400048
baseline,named_select_expressions,1,2155.324,2728,19.167296332000003
baseline,named_select_expressions,2,2129.048,2728,21.628998632
baseline,named_select_expressions,3,2186.867,2728,14.120600219
baseline,named_select_expressions,4,2144.119,2728,18.029896671
baseline,named_select_expressions,5,2817.996,2728,23.285100948
baseline,positional_raw_expression,1,1498.355,2624,19.40070054
baseline,positional_raw_expression,2,1495.408,2624,20.286704928
baseline,positional_raw_expression,3,1623.157,2624,20.677397022999997
baseline,positional_raw_expression,4,1571.028,2624,9.928896960000001
baseline,positional_raw_expression,5,2145.053,2624,29.161995535
baseline,named_row_in,1,1360.673,4016,9.051196796
baseline,named_row_in,2,1382.476,4016,21.174002416
baseline,named_row_in,3,1382.541,4016,19.662498101999997
baseline,named_row_in,4,1336.595,4016,19.996797795000003
baseline,named_row_in,5,1568.226,4016,11.49509658
baseline,custom_handler_where,1,6444.66,10616,20.57779938
baseline,custom_handler_where,2,6153.901,10616,19.957100943
baseline,custom_handler_where,3,6805.591,10616,22.397199981000004
baseline,custom_handler_where,4,5871.817,10616,20.292999552
baseline,custom_handler_where,5,6743.356,10616,23.547799152
baseline,mybatis_nested,1,1424.752,3416,20.284194224
baseline,mybatis_nested,2,1384.61,3464,20.863303479999995
baseline,mybatis_nested,3,1553.036,3464,19.077494224
baseline,mybatis_nested,4,1314.605,3416,7.18300172
baseline,mybatis_nested,5,1502.832,3416,9.658701264000001
baseline,raw_in_expression,1,18566.968,56616,20.572200544
baseline,raw_in_expression,2,17656.292,56616,21.046300064000004
baseline,raw_in_expression,3,18691.354,56616,12.971799676
baseline,raw_in_expression,4,18920.284,56616,22.666500232
baseline,raw_in_expression,5,25206.803,56616,23.341499578
baseline,raw_where_16,1,5299.916,8840,18.862401044
baseline,raw_where_16,2,4975.65,8840,20.106601649999998
baseline,raw_where_16,3,5808.764,8840,14.847200784
baseline,raw_where_16,4,5077.628,8840,20.721799867999998
baseline,raw_where_16,5,7272.982,8840,16.851499294
baseline,raw_select_expressions,1,2105.168,2728,21.060100672
baseline,raw_select_expressions,2,2094.844,2728,17.875303852000002
baseline,raw_select_expressions,3,2192.047,2728,20.535096296
baseline,raw_select_expressions,4,2031.902,2728,18.120502036
baseline,raw_select_expressions,5,2625.192,2728,20.529001440000002
baseline,mybatis_insert_entity,1,861.546,2456,18.573208668000003
baseline,mybatis_insert_entity,2,882.38,2456,20.57180732
baseline,mybatis_insert_entity,3,923.784,2456,20.709389712
baseline,mybatis_insert_entity,4,837.102,2456,17.435997557999997
baseline,mybatis_insert_entity,5,1051.786,2456,11.928305026
baseline,mybatis_union_builder,1,10981.28,16648,9.09249984
baseline,mybatis_union_builder,2,10718.717,16696,20.044000790000002
baseline,mybatis_union_builder,3,11708.926,16696,18.101999596000002
baseline,mybatis_union_builder,4,10494.318,16648,20.316999648
baseline,mybatis_union_builder,5,12835.632,16648,20.100599712
baseline,raw_union_builder,1,5395.029,10160,17.798200671
baseline,raw_union_builder,2,5552.034,10160,21.286498356
baseline,raw_union_builder,3,6416.487,10160,23.157101583
baseline,raw_union_builder,4,5368.843,10160,21.953199027
baseline,raw_union_builder,5,6003.207,10160,13.477199715
baseline,positional_naming_NO_CHANGE,1,3243.822,4928,21.318398184
baseline,positional_naming_NO_CHANGE,2,3197.822,4928,16.74059817
baseline,positional_naming_NO_CHANGE,3,3370.657,4928,20.412698792
baseline,positional_naming_NO_CHANGE,4,3140.544,4928,19.728897407999998
baseline,positional_naming_NO_CHANGE,5,4586.205,4928,29.888297984999998
baseline,mybatis_naming_CAMEL_CASE,1,4821.96,8024,21.6506004
baseline,mybatis_naming_CAMEL_CASE,2,5013.078,8408,19.395598782
baseline,mybatis_naming_CAMEL_CASE,3,5312.616,8408,22.275798888
baseline,mybatis_naming_CAMEL_CASE,4,4732.422,8024,10.217299098
baseline,mybatis_naming_CAMEL_CASE,5,7029.523,8024,32.096802018
baseline,positional_insert_placeholders,1,684.647,1944,20.588704584000002
baseline,positional_insert_placeholders,2,720.045,1944,19.476497204999998
