version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
before,named_union_raw,5,1119.324,1083.959,1183.351,1968,true
current,named_union_raw,5,1072.349,1067.8,1244.111,1472,true
baseline,named_update_chain_16,5,17135.48,16041.444,20204.541,47000,true
before,named_update_chain_16,5,16270.182,15663.643,17646.74,47808,true
current,named_update_chain_16,5,9642.593,9630.955,10736.09,24072,true
baseline,named_update_map,5,1778.837,1729.787,2187.045,4752,true
before,named_update_map,5,1677.161,1659.068,1840.073,4920,true
current,named_update_map,5,1218.358,1185.963,1251.728,2976,true
baseline,named_where_128,5,48434.163,46351.591,51284.848,71280,true
before,named_where_128,5,44603.766,41899.113,51210,77464,true
current,named_where_128,5,32865.635,32559.621,38373.502,47920,true
baseline,named_where_16,5,6429.854,5728.671,6926.904,10584,true
before,named_where_16,5,5927.224,5725.187,6658.94,11392,true
current,named_where_16,5,4447.697,4083.297,4559.781,6936,true
baseline,named_where_eq,5,1036.665,981.913,1466.614,3120,true
before,named_where_eq,5,1006.306,981.368,1045.92,3272,true
current,named_where_eq,5,771.092,743.786,805.302,1976,true
baseline,positional_batch_4,5,1937.929,1855.599,2206.819,5968,true
before,positional_batch_4,5,1875.461,1709.919,1948.209,6032,true
current,positional_batch_4,5,1254.015,1115.78,1306.381,2840,true
baseline,positional_batch_64,5,18058.062,16651.442,24599.265,72176,true
before,positional_batch_64,5,18200,17622.757,18992.094,70320,true
current,positional_batch_64,5,9723.676,8710.345,10506.955,23448,true
baseline,positional_batch_beans,5,4286.256,3855.867,4864.628,10464,true
before,positional_batch_beans,5,4715.664,4341.253,5659.765,11128,true
current,positional_batch_beans,5,2940.349,2788.534,3096.854,6984,true
baseline,positional_between,5,1146.702,1087.224,1286.01,3056,true
before,positional_between,5,1025.052,1003.869,1103.03,3104,true
current,positional_between,5,759.334,741.819,795.099,1736,true
baseline,positional_condition_only,5,3798.859,3728.127,4919.003,4872,true
before,positional_condition_only,5,3614.87,3534.047,3724.729,5640,true
current,positional_condition_only,5,2692.352,2575.018,2997.638,3104,true
baseline,positional_delete,5,340.099,339.323,508.298,1504,true
before,positional_delete,5,365.069,356.213,391.169,1544,true
current,positional_delete,5,286.867,274.527,300.104,1000,true
baseline,positional_derived,5,9326.505,9216.044,11413.069,15296,true
before,positional_derived,5,3569.88,3524.094,3986.149,7464,true
current,positional_derived,5,3537.585,3239.685,3579.667,5480,true
baseline,positional_dialect_DB2,5,1123.416,1070.849,1582.429,3544,true
before,positional_dialect_DB2,5,1031.379,1011.178,1108.583,3616,true
current,positional_dialect_DB2,5,845.495,821.278,943.192,2032,true
